parent,candidate,path,method,before_line,after_line,status,evidence,disposition
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,static synthetic access$500(Ljava/io/InputStream;)Ljava/lang/String;,0,197,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,static synthetic access$600(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;,0,213,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,static synthetic access$700(Ljava/lang/String;)Ljava/util/List;,0,229,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,static synthetic access$800()Ljava/lang/String;,0,240,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,static synthetic access$900(Ljava/lang/String;)V,0,249,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/o/ia.smali,public final ˏ(Landroid/graphics/Bitmap;Ljava/lang/String;Ljava/lang/String;)V,1191,1191,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/o/vl.smali,public final Χ()V,7775,7775,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/o/y8.smali,public final onMetadataChanged(Landroid/media/MediaMetadata;)V,36,36,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/o/y8.smali,public final onPlaybackStateChanged(Landroid/media/session/PlaybackState;)V,64,76,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/o/y8.smali,public final onSessionEvent(Ljava/lang/String;Landroid/os/Bundle;)V,0,210,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/o/zk.smali,public final onCheckedChanged(Landroid/widget/CompoundButton;Z)V,38,38,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3-statusbar-fix.apk,smali/com/byd/launcher/NavBarService.smali,public final Ϡ(I)V,27706,27731,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3-statusbar-fix.apk,smali/com/byd/launcher/NavBarService.smali,public onAccessibilityEvent(Landroid/view/accessibility/AccessibilityEvent;)V,4290,4290,PENDING_REVIEW,,
zhiui-final-v3-statusbar-fix.apk,zhiui-final-v3.1-wallpaper-statusbar-fix.apk,smali/com/byd/launcher/NavBarService.smali,public onAccessibilityEvent(Landroid/view/accessibility/AccessibilityEvent;)V,4290,4290,PENDING_REVIEW,,
zhiui-final-v3.1-wallpaper-statusbar-fix.apk,zhiui-final-v3.2-wallpaper-statusbar-fix.apk,smali/com/byd/launcher/NavBarService.smali,public final attachStatusBarToMainActivity()V,4043,4043,PENDING_REVIEW,,
zhiui-final-v3.2-wallpaper-statusbar-fix.apk,zhiui-final-v3.3-wallpaper-statusbar-stability-fix.apk,smali/com/byd/launcher/NavBarService.smali,public final Ϡ(I)V,27785,27797,PENDING_REVIEW,,
zhiui-final-v3.2-wallpaper-statusbar-fix.apk,zhiui-final-v3.3-wallpaper-statusbar-stability-fix.apk,smali/com/byd/launcher/NavBarService.smali,public onAccessibilityEvent(Landroid/view/accessibility/AccessibilityEvent;)V,4338,4340,PENDING_REVIEW,,
